id,customer_id,product_id,status,quantity
txn_zeusivllxifeycfoyxvpcp,cus_exgfahjqzpakiiiqvxqlqf,cus_tngjajfvoxzsqgcyxaruqf,pending,9
txn_fxmrribgfcxfjbiamuostp,cus_enlrmwvsgnmrgcrjewttnw,cus_tyjidoghodbkujxaeerlyv,pending,5
txn_ahrxltxbbefctpyfefircq,cus_fueugggkttxggifokbrfdj,cus_ffbteupepqmolsfmysqsis,failed,3
txn_chlcuaypxzvjiozvgzlion,cus_geplaaudyksdgyfkkpinek,cus_vwojlemhsmzbvigoognbzr,pending,7
txn_pyjietsuqzolddqmsjzoot,cus_ldlnowplyxaqammmpmimlk,cus_sjmkjuzfnnkbkucmpsspyb,pending,4
txn_zxtddbkweofcxctwjkbgvs,cus_uizrtiakvwfenmnqklxzbl,cus_bylowvsgzjbotwvvubiyqa,pending,2
txn_cvwfrlifnjeuokghjgthoe,cus_powpusuwuwdgmtqzcxvovi,cus_cqjwjhcesxyqwxnuavknam,paid,8
txn_fdiuuubsambwstjtfzptnc,cus_ovlcfutqmteqddphhvuhyq,cus_xfowimkwhdwyjdkqfgepgb,pending,2
txn_txzhnqwqmkzzmwvyihfhqk,cus_mcouyohtkhwfxdgguciaup,cus_vykjvhgwzbfllflyokrdug,paid,8
txn_rtbqrvoyahrxsoquspbwcw,cus_btpgnspiieputnfqpqjzqr,cus_tyjidoghodbkujxaeerlyv,paid,4
txn_hbpvscwakpldxfnlgtaful,cus_enhygwrkaizqfttjciiftw,cus_wzvssrzalbkdvsjrotmnnu,paid,7
txn_ncscyqbkepjubyulkdqjoo,cus_hyrnddykidnzstyqvitmux,cus_sjmkjuzfnnkbkucmpsspyb,paid,6
txn_iaasileohgagwwxjqtyjkn,cus_hnnobwywjsydqtzdyakfqy,cus_bwpxisgeinfgtmlbawvtco,paid,4
txn_utwsjhjwxujvpryncenszt,cus_lsbrlsjyechzplhtkfycgc,cus_cceitczwuoyloushpqmwcn,paid,4
txn_mbvmdsubjrefialaegxcsq,cus_kymthzrdukieshafotpyhf,cus_tetdsjuwomujrtrdimafln,pending,5
txn_jozyzuqmnxclxeecamuxca,cus_jpahuxpcmsgzibxoxjytav,cus_tlencytgzknpihgbwsaefa,paid,8
txn_azqgebzhdyidttqolahesm,cus_mshytchnqcawvrqwovzqej,cus_mkckkooesygcmphakmopuq,paid,9
txn_rdcorkfknjbaremcgwifuy,cus_khhmqnzrbauvpujbvcpzwh,cus_ozysmwvuqfleadqdoebflb,paid,4
txn_wdomynfhnqzqzafwimwckq,cus_cnwfalinqcbgtfvzsbrzpb,cus_ibikrzklobsanntkaintto,paid,9
txn_cpbkkgmetibmwpwseoyzvu,cus_xmafnsqsugzfdtrongqnhm,cus_xggydrepygvaqowjayjlsl,paid,6
txn_wpvdaoqdvspyzpzjmqjitz,cus_sqbqsnvgpaxkigoclwsrpe,cus_chdywnhqabdqnpkswaxlzo,paid,7
txn_cuxaggrfmjayumfwiexihq,cus_htwlktyeovhzhrvtcvcgij,cus_jzuteravokucmhmebzygjz,failed,8
txn_cqnevqqubhnbllbmjbpocc,cus_vdrswdatbdgfhmmvycsznz,cus_lsbrlsjyechzplhtkfycgc,paid,7
txn_rbaahjxvolhgyvkbdepyrw,cus_bynbtgktsaapcpjsdgnvoc,cus_avnbjitfkarmwwnvcecirz,paid,7
txn_volouwdbjumamblqejgvrs,cus_scvfgmrdlgcbjohqjodmbw,cus_qqjautdlubavjgpvqcvagx,paid,2
txn_gwclzqgaonabfxjjplkdjj,cus_bmpbkvzllijfrbeidswhuo,cus_ireelumfltltibepmlqpuw,pending,1
txn_riuagemtsamqhmzlrtdyis,cus_njnrntrkyrbpyiwsygzfwu,cus_mskmrwuimuvguahhdsvjjd,pending,3
txn_qnhuslsmiudmyqoyycxblv,cus_gipdpsoylvrzziygsxplrw,cus_eetyagzobptftqtpswtprc,paid,7
txn_qaemonfzibgayppflwawux,cus_vkfqrxjduydvgqhfzzewxb,cus_jwarcwtvrdiwyvnqtcdncj,paid,7
txn_oblyxtmjeqtgfslrzjppwg,cus_eglsimbffcymhqmxdoonkk,cus_ipaalfhwdsbwjsnlgvecbp,pending,9
txn_jxncglyuxxmjljrnhuizjq,cus_eljkpvxnlwbozpszjxrqgz,cus_ybtpiygizthbdndtaozifq,paid,1
txn_gkxpxdttfyfamsyvznxrwa,cus_gusyriecqwbzfyudabxvlz,cus_kwmvuomerkmevtoipjrrtc,paid,3
txn_ztpejckafwpwucntgqerqg,cus_xstkazuxlzcilmekloywfj,cus_hcjgndkabjfqutbljwvcbn,paid,2
txn_lbqqorguiuqdutwtapamni,cus_aggwppbzaecraosxlojjjr,cus_lcolszlyjwvbbpwfcwbhfx,paid,6
txn_ptfcgrgwrfefvquyftljfj,cus_gjyykvtgbnjgpajxjkguwh,cus_wlzkosjfdxqorbmzuikuxh,failed,7
txn_cckwhgkcyjlztchcnfxmkh,cus_xfowimkwhdwyjdkqfgepgb,cus_urhfizuvbjaanloenbrphh,failed,4
txn_gvewxtbvrvmyjlgdkhecuq,cus_bkvltxbenkbxdymxqzhwdx,cus_ynnnpjquzqbkurpbqpcupw,paid,3
txn_aktrdriweljtvsfqojbozo,cus_zrvbczlofcvykqwrbeobkk,cus_xvliwgmkkyijdadmpbjrys,failed,1
txn_vqbhubriycsciqvmqmampj,cus_javeishpvwsllewknrviwu,cus_tfbyuvqtajslajymlkiakp,paid,3
txn_gwqnpnylnhsgdfcucwbhni,cus_whdpdlkkeeajscpecjydoi,cus_kjubhllhchcskjnkmwsorm,paid,8
txn_kefmewrlhbpqedgzpfswin,cus_iszzkgercldcaeeplojuuo,cus_lntftlmcoasirclfrsovbp,failed,9
txn_yzlhhcznphdujlptpwyria,cus_voujswmfgzykytzjnwzkoh,cus_loisyjuqyyjxmxmccjosrj,failed,7
txn_sxrfandpaottebxahfzwcd,cus_bkvltxbenkbxdymxqzhwdx,cus_hcjgndkabjfqutbljwvcbn,failed,9
txn_ncsdhklvscobufnujajuwk,cus_khfblxdztpdlfsgymntouk,cus_ifwjjmegiubyitjkbkxfbg,paid,3
txn_qtddcarpadgkjgqtwtbgkw,cus_glbqtqwcxujpgepjowmcto,cus_rxievyzxkhdntrazixiekj,paid,7
txn_itdzvwtyfqylwofljasoms,cus_wgkellypmybhcjhgcaptgq,cus_tigfjgbdidrypzkvhdpxls,paid,9
txn_eciybqmbbkpyakzkyfbgbk,cus_eluvsrmjzddjslgurzreus,cus_iukduyhwlmdrwscvkbqaxn,paid,7
txn_uurydwxxunhdwpabsjyzvn,cus_rfgdqvbmuxvdcfocajdkqk,cus_tywiqgbpciwtewmoworrtz,paid,6
txn_ipqsmbulnazgirnhqvefvx,cus_htdjitbpaujgtcrrdzbzio,cus_hhfeauugsdxiqsvohlnsqo,pending,3
txn_qbrdgzbyzzoeshzbpllbwj,cus_twvahmlvgtqjqoubjpmgsg,cus_rsiwznalidvtsskvzwvqwt,paid,9
txn_wshmummjdwzyugeatwdcdf,cus_rxievyzxkhdntrazixiekj,cus_ffbteupepqmolsfmysqsis,pending,3
txn_itiaeldpjcwfkdyihlvrxp,cus_loisyjuqyyjxmxmccjosrj,cus_spzthxjhurcklwjhsuhatq,paid,9
txn_yjeyvstkepreiqydkbfdhu,cus_tvcucovmslvpnkdqpphzwm,cus_zhhcstdotdpprchpvbvrlr,pending,1
txn_swzmkmxfqzedavoyueyuwu,cus_ommvawboxkvqrpkpzzqgtx,cus_vxajvjcuhyntbjmmumbzii,paid,4
txn_bmhidndylkmcivzagesoiy,cus_uefmomqfqpmlqfjswzgyrr,cus_ppabftlklzqinuvhpgqnpa,paid,3
txn_yizilhnqvnpvkuuwcsbanb,cus_oriczeartpekgdsbosyikt,cus_fgmkcxheeoswuzzwkszwis,paid,7
txn_ttsjxjywbromrhkafbsmgw,cus_jhpfzgdcdzkjefgzpvwugh,cus_lsxvaytqlfvnkfozpwbevc,pending,6
txn_ydzymyoizovrhqdaxzvsfr,cus_gklmvxgsshjizwrbhlxaut,cus_jzuteravokucmhmebzygjz,paid,6
txn_kblpgfqqsepbaijzbfitab,cus_iukduyhwlmdrwscvkbqaxn,cus_dgvxeoezjzwfohwiihnhmk,pending,3
txn_xlgghnelihzsrpmadingbw,cus_bifkcinvlaayhqsxustfoj,cus_uhmrxetukirwadjtraccfm,paid,8
txn_ggmamfprjpamlqtdtumnkd,cus_gnvgxnkaafjypkxcaxxwvb,cus_rkrnakouijpxdhklmheyxk,paid,8
txn_edjertgejyttcdgoflmxmy,cus_yljapmqdttckluzjbvxped,cus_crjkwdelqsxblolvlwgvlh,paid,6
txn_jpneoxfokbndqyunmirrlk,cus_niupcejpsendeqnomkzwmf,cus_buburffzwmvfghgjtwztru,paid,2
txn_wihtsgbxmrahhmfgdhvbuf,cus_nsabhfjghmpaxiblllozkl,cus_wevrljjxthsowyqoeecahu,paid,6
txn_bzfkuftxzvwvmdtvugcdjp,cus_kwmvuomerkmevtoipjrrtc,cus_onlkjuwkgqdnqstdmeiljt,failed,6
txn_uwbbjbqhlyzefgbsncpwtp,cus_itrzygycwoxypuodzvmrzp,cus_dugddwmvmmphaaerczrbml,pending,4
txn_drfqbaxddkqdvltubwrdch,cus_cwszhpcmingypiudxbpoyj,cus_hhfeauugsdxiqsvohlnsqo,paid,9
txn_aeprnxktyoyewfqwugjwiw,cus_jbjieeutvrzdofbhogpzjn,cus_tjqyfbytpxwdswzooonnku,paid,1
txn_riqnmtkyzdzmuwzuipqfom,cus_vuyhhxcgbvkxyzxxpxpajc,cus_zhhcstdotdpprchpvbvrlr,paid,5
txn_dwtxeptpfjxwxfnfghykgn,cus_lohcgmnlcrknrinulihoyn,cus_ommvawboxkvqrpkpzzqgtx,paid,9
txn_djwsymzesnvdshluhufgpa,cus_ckoeljytktejplhfmugrrn,cus_gmqbcixgvrukewhlziceil,pending,4
txn_duooxoftzshbkvomdqijlj,cus_ssslwxnphorubtwfjsygva,cus_glbqtqwcxujpgepjowmcto,pending,9
txn_rpijmlgfgdbbdahxquyvhw,cus_iukduyhwlmdrwscvkbqaxn,cus_rkrnakouijpxdhklmheyxk,pending,3
txn_ivxvjowiqcnxypksszbygq,cus_tfhcrwgfstwwzdewjzdzdi,cus_wceqkunxoprurncxsbcyzm,pending,5
txn_mbvuejewirrrhftzwfuokw,cus_ugqtocehokrzwwwyirtlik,cus_yyfckvzrvumtnoiztdxckf,paid,5
txn_jdzeinwknbzkyedognoast,cus_hlgahjtvqnbdqcgemoowqa,cus_wlzkosjfdxqorbmzuikuxh,failed,2
txn_dyrjeahpzuprjlfjrwngai,cus_wgpjrkcyvgycggtasjftpj,cus_lsxvaytqlfvnkfozpwbevc,pending,9
txn_kifwolvmedxeymhftuoity,cus_nvfsolqvlixsrdghznzgcq,cus_jvlbzarfgfmohlatfbliar,paid,6
txn_haxlkmeisrgojxqhxoeoub,cus_camkaextybdmjzxsatwccv,cus_vzxjupqfqfawcaugpgdkzb,pending,3
